atletas.apelido;atletas.atleta_id;atletas.preco_num;preco
Fernando;99550;1.0;1
Robinho;99574;2.43;2,43
Paulo Vitor;99588;1.86;1,86
Bruno Cosendey;99615;2.21;2,21
Felipe Saraiva;99616;1.78;1,78
Conrado;99625;2.08;2,08
Esperon;99628;1.0;1
Jadson;99629;1.0;1
Igor C‡ssio;99661;1.0;1
Elano;99669;9.07;9,07
Arthur;99670;0.82;0,82
Mascarenhas;99721;4.43;4,43
Brenner;99789;1.36;1,36
Bremer;99817;2.59;2,59
Paulinho;99818;6.32;6,32
Douglas;99824;1.11;1,11
Leonardo Simas;99832;1.0;1
Dionath‹;99834;1.51;1,51
L_o Passos;99878;2.0;2
Ricardo;99881;2.0;2
Fabiano Soares;99882;10.73;10,73
Penilla;99883;3.87;3,87
Luis Ali;99892;1.16;1,16
Jœnior Brumado;99894;0.98;0,98
Luanzinho;99900;2.86;2,86
Lucas Campos;99903;0.79;0,79
Ezequiel;99915;2.15;2,15
Patrick;99918;2.09;2,09
Khevin;99921;1.0;1
Lucas Formiga;99959;0.79;0,79
Rickson;100002;1.0;1
Lincoln;100065;0.93;0,93
Igor;100084;1.0;1
Pedro Augusto;100085;1.0;1
Lucas;100100;1.0;1
Thuler;100125;1.0;1
Klebinho;100126;2.0;2
Pablo Maldini;100127;1.0;1
Lucas Poletto;100132;0.86;0,86
Lucas Soares;100158;1.0;1
Vander;100159;1.0;1
Ronaldo;100162;1.0;1
Urue–a;100178;3.0;3
Pedr‹o;100322;2.0;2
Paulo B—ia;100333;1.0;1
Alisson;100337;1.0;1
L_o Andrade;100342;1.0;1
Amilcar;100458;1.0;1
Weverton Almeida;100459;1.0;1
John Kleber;100648;0.79;0,79
Rodrygo;100651;0.98;0,98
Yuri Alberto;100652;0.79;0,79
Diogo;100683;1.0;1
Fernando;100695;0.79;0,79
Filipe;100712;1.0;1
Guilherme Guedes;100741;1.0;1
Matheuzinho;100742;1.83;1,83
Matheus Guedes;100746;1.0;1
Liziero;100761;1.0;1
Bissoli;100762;1.45;1,45
Gabriel;100763;1.26;1,26
Marcos Moser;100795;1.0;1
Emerson Barbosa;100800;0.79;0,79
Brenno;100830;1.0;1
Ericson;100839;0.79;0,79
Emanuel;100840;0.79;0,79
Ruan;100842;0.79;0,79
Felipe;100843;2.02;2,02
Lucas Araœjo;100844;1.0;1
Alanzinho;100845;1.0;1
Esteves;100846;1.0;1
An’bal;100847;1.0;1
Luan C‰ndido;100848;1.0;1
Guilherme Vieira;100849;1.0;1
