atletas.apelido;atletas.atleta_id;atletas.preco_num;preco
Felipe Gedoz ;87864;7.52;7,52
Fernando Guerrero;87872;2.89;2,89
Orejuela;87874;8.44;8,44
Sornoza;87877;12.54;12,54
Balbuena;87887;10.85;10,85
Jœnior;87946;1.02;1,02
Gustavo Scarpa;87999;13.12;13,12
Serginho;88002;1.21;1,21
Warian Santos ;88030;1.0;1
Ramon;88087;4.41;4,41
Ivan;88136;2.0;2
Daniel Guedes ;88225;4.39;4,39
çngel Romero;88323;12.11;12,11
Jean Patrick;88379;3.08;3,08
Iago;88417;3.48;3,48
Jo‹o Vitor ;88539;1.0;1
Lucas Crispim;88597;2.39;2,39
Vin’cius Tanque;88651;1.9;1,9
Igor;88667;4.67;4,67
Bruno Paulista;88933;4.71;4,71
Jean;89150;9.94;9,94
Judivan ;89190;3.59;3,59
Balbino;89227;0.79;0,79
Andreazzi;89253;2.0;2
Jo‹o Pedro ;89273;4.52;4,52
Matheus Sales;89285;3.39;3,39
Caju;89342;3.5;3,5
Jœnior Tavares;89343;10.87;10,87
Saulo;89492;1.18;1,18
Igor Rabello;89493;10.41;10,41
Nickson;89676;3.0;3
Leonan;89693;2.69;2,69
James Dean;89694;1.0;1
Romulo;89696;8.14;8,14
Gustavo Ferrareis;89815;5.11;5,11
Pisculichi;89871;4.13;4,13
Leandrinho;89885;3.07;3,07
R—ger Guedes;89898;6.58;6,58
Dudu;89919;1.0;1
Andrigo;89930;6.71;6,71
Geferson;89976;8.96;8,96
Mendoza;90031;6.43;6,43
Bruno Pacheco;90061;8.22;8,22
Bruno Henrique;90285;13.49;13,49
Jailson;90290;3.82;3,82
David;90309;5.66;5,66
Araœjo;90334;1.0;1
Luiz Fernando ;90366;1.94;1,94
Fernandes;90399;2.8;2,8
Mois_s;90444;3.02;3,02
Jefferson Nem;90455;0.79;0,79
Raul;90531;1.0;1
Arthur;90532;8.65;8,65
Alex;90535;3.3;3,3
Rafael Longuine;90566;1.08;1,08
Yuri;90569;0.79;0,79
Jefferson;90586;1.0;1
Cascardo;90587;3.73;3,73
Lucas Mineiro;90634;1.88;1,88
Luiz Fernando ;90715;4.64;4,64
Fabr’cio Bruno;90768;4.06;4,06
Elias;90843;4.0;4
Wallace;90892;1.0;1
Lucas Fernandes;90899;4.53;4,53
Jean;90933;11.9;11,9
Pavez;90959;4.76;4,76
Evandro;91001;0.76;0,76
Alison;91003;1.0;1
Ronaldo;91101;1.0;1
Fl‡vio;91102;2.12;2,12
Jesiel;91156;3.21;3,21
Gustavo Blanco;91191;2.16;2,16
Thiago;91194;4.24;4,24
Pepê;91201;3.7;3,7
ƒder ;91203;2.34;2,34
Warleson;91204;1.0;1
Lucas Perri;91260;2.0;2
Matheus Savio;91264;10.1;10,1
Jo‹o Paulo Sanches;91318;6.97;6,97
Bruno Bispo;91359;2.42;2,42
Rodrigo Ramos;91388;2.89;2,89
Leonardo Valencia;91508;4.7;4,7
Kazim;91519;1.02;1,02
Arboleda;91573;8.24;8,24
Careca;91634;2.0;2
Adryelson;91664;2.0;2
Eduardo;91688;1.0;1
Marlon;91706;4.9;4,9
Marciel;91714;4.01;4,01
Diego;91783;1.0;1
Ca’que França;91808;1.43;1,43
Nogueira;91815;2.72;2,72
Breno;91842;1.0;1
Z_ Ivaldo;91866;1.5;1,5
Silva;91917;2.67;2,67
Everson;91929;1.76;1,76
Jo‹o Paulo;91972;3.35;3,35
Lucas Marques;91973;2.81;2,81
Gabriel F_lix;92057;2.21;2,21
Wallace;92078;2.0;2
M‡rio;92084;1.0;1
Jair Ventura;92180;12.42;12,42
Juninho;92182;8.69;8,69
Ravanelli;92193;8.16;8,16
Ca’que;92207;4.28;4,28
Matheus Phillipe;92438;1.0;1
Douglas;92497;3.79;3,79
Lucas Lovat;92501;3.0;3
Batista;92504;3.39;3,39
Kaio;92574;4.24;4,24
Rafaelson;92614;1.54;1,54
Jonata;92622;1.04;1,04
Claudinho;92630;0.79;0,79
Denilson;92662;1.0;1
