,scout,gato_mestre,minimo_para_valorizar,jogos_num,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,media_num,variacao_num,preco_num,entrou_em_campo,slug,apelido,apelido_abreviado,nome,foto
620,{},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",,0,113159,25,275,3,6,0.0,0.0,0.0,2.0,False,michel,Michel,Michel,Michel Augusto Modesto Rafael dos Santos,https://s.sde.globo.com/media/person_role/2022/04/06/2e58e6fda93f2529e843b6dacea39be3_FORMATO.png
621,"{'A': 3, 'CA': 6, 'DS': 19, 'FC': 32, 'FD': 11, 'FF': 14, 'FS': 42, 'FT': 1, 'G': 11, 'I': 5, 'PS': 1}","{'scouts': {'media': {'FS': 2, 'A': 0.14, 'FT': 0.05, 'G': 0.52, 'I': 0.24, 'DS': 0.9, 'FC': 1.52, 'CA': 0.29, 'FF': 0.67, 'FD': 0.52, 'PS': 0.05}, 'mandante': {'FS': 21, 'A': 2, 'FT': 1, 'G': 7, 'I': 3, 'DS': 10, 'FC': 19, 'CA': 4, 'FF': 10, 'FD': 8}, 'visitante': {'FS': 21, 'A': 1, 'G': 4, 'I': 2, 'DS': 9, 'FC': 13, 'CA': 2, 'FF': 4, 'FD': 3, 'PS': 1}}, 'media_pontos_mandante': 8.258333333333335, 'media_pontos_visitante': 6.666666666666667, 'media_minutos_jogados': 75, 'minutos_jogados': 10}",1.56,21,114802,25,293,5,5,0.0,7.59,0.0,12.47,False,vitor-roque,Vitor Roque,V. Roque,Vitor Hugo Roque Ferreira,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_0B2D0LR.png
622,"{'A': 1, 'CA': 1, 'DS': 4, 'FC': 8, 'FD': 2, 'FF': 2, 'FS': 3, 'SG': 2}","{'scouts': {'media': {'SG': 0.25, 'FS': 0.38, 'A': 0.12, 'DS': 0.5, 'FC': 1, 'CA': 0.12, 'FF': 0.25, 'FD': 0.25}, 'mandante': {'SG': 1, 'FS': 1, 'A': 1, 'DS': 2, 'FC': 3, 'FF': 1}, 'visitante': {'SG': 1, 'FS': 2, 'DS': 2, 'FC': 5, 'CA': 1, 'FF': 1, 'FD': 2}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 47, 'minutos_jogados': 47}",0.77,8,113384,25,294,2,6,0.0,2.74,0.0,1.67,False,diogo-batista,Diogo Batista,D. Batista,Diogo Batista de Souza,https://s.sde.globo.com/media/person_role/2023/09/13/photo_FORMATO_KoGBw9E.png
623,"{'CA': 1, 'FC': 3, 'FS': 3}","{'scouts': {'media': {'FS': 1, 'FC': 1, 'CA': 0.33}, 'mandante': {'FS': 1, 'FC': 2, 'CA': 1}, 'visitante': {'FS': 2, 'FC': 1}}, 'media_pontos_mandante': -1.1, 'media_pontos_visitante': 0.35, 'media_minutos_jogados': 36, 'minutos_jogados': 36}",0.75,3,113663,25,275,5,6,0.5,-0.13,0.05,0.79,True,kevin,Kevin,Kevin,Kevin Santos Lopes de Macedo,https://s.sde.globo.com/media/person_role/2023/03/03/photo_FORMATO_TugHOMv.png
624,{},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",,0,116562,25,290,1,6,0.0,0.0,0.0,1.0,False,ezequiel,Ezequiel,Ezequiel,Ezequiel Alves de Oliveira Vieira,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_DI919Pv.png
625,"{'A': 1, 'CA': 3, 'DS': 48, 'FC': 40, 'FD': 3, 'FF': 4, 'FS': 37, 'FT': 1, 'G': 1, 'I': 8, 'PC': 1, 'PS': 1, 'SG': 8}","{'scouts': {'media': {'SG': 0.33, 'FS': 1.54, 'A': 0.04, 'FT': 0.04, 'G': 0.04, 'I': 0.33, 'DS': 2, 'FC': 1.67, 'CA': 0.12, 'FF': 0.17, 'FD': 0.12, 'PS': 0.04, 'PC': 0.04}, 'mandante': {'SG': 7, 'FS': 21, 'A': 1, 'FT': 1, 'I': 5, 'DS': 22, 'FC': 22, 'CA': 3, 'FD': 2, 'PC': 1}, 'visitante': {'SG': 1, 'FS': 16, 'G': 1, 'I': 3, 'DS': 26, 'FC': 18, 'FF': 4, 'FD': 1, 'PS': 1}}, 'media_pontos_mandante': 5.933333333333334, 'media_pontos_visitante': 4.325, 'media_minutos_jogados': 92, 'minutos_jogados': 70}",5.36,24,115239,25,262,2,7,6.0,5.12,-0.07,9.81,True,wesley,Wesley,Wesley,Wesley Vin°cius Franáa Lima,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_FLI9Vom.png
626,"{'CA': 1, 'DS': 1, 'FC': 1}","{'scouts': {'media': {'DS': 0.5, 'FC': 0.5, 'CA': 0.5}, 'mandante': {}, 'visitante': {'DS': 1, 'FC': 1, 'CA': 1}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 13, 'minutos_jogados': 22}",0.03,2,114174,25,262,5,6,0.0,-0.05,0.0,1.29,False,andre-luiz,AndrÇ Luiz,A. Luiz,AndrÇ Luiz In†cio da Silva,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_qtSFh6j.png
627,"{'DS': 6, 'FC': 6, 'FS': 2, 'SG': 2}","{'scouts': {'media': {'SG': 0.4, 'FS': 0.4, 'DS': 1.2, 'FC': 1.2}, 'mandante': {}, 'visitante': {'SG': 2, 'FS': 2, 'DS': 6, 'FC': 6}}, 'media_pontos_mandante': 0, 'media_pontos_visitante': 4.1, 'media_minutos_jogados': 59, 'minutos_jogados': 102}",1.44,5,115246,25,275,3,6,1.8,3.28,0.13,1.94,True,naves,Naves,Naves,Kaiky Marques Naves,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_PUzC8ZB.png
628,{},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",,0,113667,25,262,5,6,0.0,0.0,0.0,1.0,False,ryan-luka,Ryan Luka,R. Luka,Ryan Luka Cordeiro de Souza,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_4G7ETFM.png
629,"{'A': 1, 'CA': 1, 'DS': 8, 'FC': 10, 'FD': 1, 'FF': 2, 'FS': 8, 'FT': 1, 'G': 1, 'I': 1}","{'scouts': {'media': {'FS': 1, 'A': 0.12, 'FT': 0.12, 'G': 0.12, 'I': 0.12, 'DS': 1, 'FC': 1.25, 'CA': 0.12, 'FF': 0.25, 'FD': 0.12}, 'mandante': {'FS': 3, 'A': 1, 'FT': 1, 'I': 1, 'DS': 4, 'FC': 5, 'FF': 2, 'FD': 1}, 'visitante': {'FS': 5, 'G': 1, 'DS': 4, 'FC': 5, 'CA': 1}}, 'media_pontos_mandante': 3.1, 'media_pontos_visitante': 4.266666666666667, 'media_minutos_jogados': 57, 'minutos_jogados': 73}",1.92,8,115563,25,327,4,7,2.3,3.53,-0.87,3.0,True,rodriguinho,Rodriguinho,Rodriguinho,Rodrigo Henrique Santos de Souza,https://s.sde.globo.com/media/person_role/2022/02/24/cbc12bdc877ddabea0be444ea145a8d6_FORMATO.png
