,scout,gato_mestre,minimo_para_valorizar,jogos_num,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,media_num,variacao_num,preco_num,entrou_em_campo,slug,apelido,apelido_abreviado,nome,foto
0,{'V': 6},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",2.82,16,37281,25,264,6,7,2.55,4.69,-1.04,10.51,True,mano-menezes,Mano Menezes,M. Menezes,Luis Antìnio Venker de Menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png
1,"{'CA': 3, 'DE': 79, 'FS': 2, 'GS': 24, 'SG': 9}","{'scouts': {'media': {'SG': 0.39, 'FS': 0.09, 'CA': 0.13, 'DE': 3.43, 'GS': 1.04}, 'mandante': {'SG': 7, 'FS': 1, 'CA': 1, 'DE': 34, 'GS': 6}, 'visitante': {'SG': 2, 'FS': 1, 'CA': 2, 'DE': 45, 'GS': 18}}, 'media_pontos_mandante': 4.8076923076923075, 'media_pontos_visitante': 3.55, 'media_minutos_jogados': 101, 'minutos_jogados': 101}",5.83,23,37656,25,266,1,7,0.0,4.26,0.0,12.81,False,fabio,F†bio,F†bio,F†bio Deivson Lopes Maciel,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png
2,"{'A': 2, 'DS': 7, 'FC': 3, 'FD': 4, 'FF': 4, 'FS': 10, 'G': 1, 'I': 1}","{'scouts': {'media': {'FS': 0.91, 'A': 0.18, 'G': 0.09, 'I': 0.09, 'DS': 0.64, 'FC': 0.27, 'FF': 0.36, 'FD': 0.36}, 'mandante': {'FS': 5, 'A': 2, 'DS': 5, 'FC': 2, 'FF': 4, 'FD': 4}, 'visitante': {'FS': 5, 'G': 1, 'I': 1, 'DS': 2, 'FC': 1}}, 'media_pontos_mandante': 4.316666666666666, 'media_pontos_visitante': 2.5, 'media_minutos_jogados': 43, 'minutos_jogados': 38}",1.13,11,38398,25,264,4,2,0.0,3.5,-0.81,11.68,True,renato-augusto,Renato Augusto,R. Augusto,Renato Soares de Oliveira Augusto,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png
3,"{'A': 1, 'CA': 2, 'DS': 17, 'FC': 4, 'FD': 4, 'FF': 7, 'FS': 22, 'G': 1, 'I': 1, 'SG': 5}","{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",4.97,12,38402,25,266,2,2,0.0,6.38,0.0,13.55,False,marcelo,Marcelo,Marcelo,Marcelo Vieira da Silva J£nior,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png
4,"{'A': 1, 'CA': 6, 'DS': 25, 'FC': 16, 'FD': 1, 'FF': 1, 'FS': 14, 'FT': 1, 'GC': 1, 'PC': 1, 'SG': 4}","{'scouts': {'media': {'SG': 0.24, 'FS': 0.82, 'A': 0.06, 'FT': 0.06, 'DS': 1.47, 'FC': 0.94, 'GC': 0.06, 'CA': 0.35, 'FF': 0.06, 'FD': 0.06, 'PC': 0.06}, 'mandante': {'SG': 3, 'FS': 10, 'FT': 1, 'DS': 15, 'FC': 13, 'CA': 4, 'FF': 1, 'FD': 1}, 'visitante': {'SG': 1, 'FS': 4, 'A': 1, 'DS': 10, 'FC': 3, 'GC': 1, 'CA': 2, 'PC': 1}}, 'media_pontos_mandante': 3.1909090909090905, 'media_pontos_visitante': 2.85, 'media_minutos_jogados': 90, 'minutos_jogados': 98}",-0.24,16,38144,25,276,2,3,-1.0,3.27,-0.07,6.27,True,rafinha,Rafinha,Rafinha,M†rcio Rafael Ferreira de Souza,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png
5,"{'CA': 5, 'DS': 28, 'FC': 25, 'FD': 1, 'FS': 4, 'SG': 7}","{'scouts': {'media': {'SG': 0.39, 'FS': 0.22, 'DS': 1.56, 'FC': 1.39, 'CA': 0.28, 'FD': 0.06}, 'mandante': {'SG': 5, 'FS': 2, 'DS': 17, 'FC': 16, 'CA': 4}, 'visitante': {'SG': 2, 'FS': 2, 'DS': 11, 'FC': 9, 'CA': 1, 'FD': 1}}, 'media_pontos_mandante': 3.1333333333333333, 'media_pontos_visitante': 3.616666666666667, 'media_minutos_jogados': 77, 'minutos_jogados': 104}",7.45,18,38877,25,282,2,7,8.8,3.3,0.71,6.92,True,mariano,Mariano,Mariano,Mariano Ferreira Filho,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png
6,"{'CA': 5, 'DS': 21, 'FC': 19, 'FD': 1, 'FF': 4, 'FS': 15, 'FT': 1, 'I': 1, 'PC': 1, 'SG': 6}","{'scouts': {'media': {'SG': 0.3, 'FS': 0.75, 'FT': 0.05, 'I': 0.05, 'DS': 1.05, 'FC': 0.95, 'CA': 0.25, 'FF': 0.2, 'FD': 0.05, 'PC': 0.05}, 'mandante': {'SG': 4, 'FS': 9, 'FT': 1, 'I': 1, 'DS': 9, 'FC': 13, 'CA': 3, 'FF': 2, 'FD': 1}, 'visitante': {'SG': 2, 'FS': 6, 'DS': 12, 'FC': 6, 'CA': 2, 'FF': 2, 'PC': 1}}, 'media_pontos_mandante': 2.8416666666666663, 'media_pontos_visitante': 3.025, 'media_minutos_jogados': 97, 'minutos_jogados': 100}",4.35,20,38394,25,293,3,3,4.7,2.92,0.44,7.23,True,thiago-heleno,Thiago Heleno,T. Heleno,Thiago Heleno Henrique Ferreira,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png
7,"{'A': 1, 'CA': 3, 'DS': 11, 'FC': 11, 'FF': 1, 'FS': 18, 'G': 1, 'PP': 1, 'SG': 5}","{'scouts': {'media': {'SG': 0.36, 'FS': 1.29, 'A': 0.07, 'G': 0.07, 'DS': 0.79, 'FC': 0.79, 'CA': 0.21, 'PP': 0.07, 'FF': 0.07}, 'mandante': {'SG': 2, 'FS': 3, 'DS': 4, 'FC': 3}, 'visitante': {'SG': 3, 'FS': 15, 'A': 1, 'G': 1, 'DS': 7, 'FC': 8, 'CA': 3, 'PP': 1, 'FF': 1}}, 'media_pontos_mandante': 2.5666666666666664, 'media_pontos_visitante': 4.4125, 'media_minutos_jogados': 64, 'minutos_jogados': 17}",5.34,14,38229,25,264,2,2,0.0,3.62,0.0,5.43,False,fabio-santos,F†bio Santos,F. Santos,F†bio Santos Romeu,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png
8,{'V': 8},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",5.08,23,40990,25,276,6,7,5.35,4.89,0.36,11.49,True,dorival-junior,Dorival J£nior,D. J£nior,Dorival Silvestre J£nior,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png
9,{'V': 13},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",3.69,24,41929,25,284,6,7,3.45,5.4,-0.51,12.84,True,renato-gaucho,Renato Ga£cho,R. Ga£cho,Renato Portaluppi,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png
10,"{'A': 6, 'CA': 6, 'CV': 1, 'DS': 8, 'FC': 37, 'FD': 27, 'FF': 31, 'FS': 72, 'FT': 2, 'G': 8, 'I': 10, 'PS': 1}","{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",8.57,22,39148,25,282,5,7,9.4,8.29,0.59,18.44,True,hulk,Hulk,Hulk,Givanildo Vieira de Souza,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png
11,{'V': 6},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",7.39,15,43618,25,282,6,7,8.39,5.29,0.36,11.49,True,luiz-felipe-scolari,Luiz Felipe Scolari,L. Scolari,Luiz Felipe Scolari,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png
12,"{'CA': 2, 'DE': 83, 'FS': 5, 'GS': 27, 'PC': 1, 'SG': 6}","{'scouts': {'media': {'SG': 0.25, 'FS': 0.21, 'CA': 0.08, 'DE': 3.46, 'GS': 1.12, 'PC': 0.04}, 'mandante': {'SG': 3, 'FS': 1, 'CA': 1, 'DE': 30, 'GS': 8}, 'visitante': {'SG': 3, 'FS': 4, 'CA': 1, 'DE': 53, 'GS': 19, 'PC': 1}}, 'media_pontos_mandante': 3.3181818181818183, 'media_pontos_visitante': 3.769230769230769, 'media_minutos_jogados': 100, 'minutos_jogados': 98}",3.44,24,42234,25,264,1,7,3.5,3.58,-0.51,8.17,True,cassio,C†ssio,C†ssio,C†ssio Roberto Ramos,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png
13,"{'DS': 2, 'FC': 1, 'FF': 2, 'FS': 2, 'G': 2, 'I': 1}","{'scouts': {'media': {'FS': 0.22, 'G': 0.22, 'I': 0.11, 'DS': 0.22, 'FC': 0.11, 'FF': 0.22}, 'mandante': {'G': 1}, 'visitante': {'FS': 2, 'G': 1, 'I': 1, 'DS': 2, 'FC': 1, 'FF': 2}}, 'media_pontos_mandante': 4, 'media_pontos_visitante': 1.8000000000000003, 'media_minutos_jogados': 28, 'minutos_jogados': 49}",0.77,9,42116,25,293,5,6,0.4,2.28,-0.4,4.46,True,willian,Willian,Willian,Willian Gomes de Siqueira,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png
14,"{'CA': 1, 'DS': 6, 'FC': 8, 'FD': 1, 'FF': 3, 'FS': 5, 'SG': 6}","{'scouts': {'media': {'SG': 0.46, 'FS': 0.38, 'DS': 0.46, 'FC': 0.62, 'CA': 0.08, 'FF': 0.23, 'FD': 0.08}, 'mandante': {'SG': 4, 'FS': 2, 'DS': 5, 'FC': 5, 'FF': 2}, 'visitante': {'SG': 2, 'FS': 3, 'DS': 1, 'FC': 3, 'CA': 1, 'FF': 1, 'FD': 1}}, 'media_pontos_mandante': 3.3875, 'media_pontos_visitante': 2.56, 'media_minutos_jogados': 55, 'minutos_jogados': 98}",1.26,13,50317,25,266,3,6,1.0,3.07,-0.98,5.53,True,david-braz,David Braz,D. Braz,David Braz de Oliveira Filho,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png
15,"{'A': 1, 'CA': 8, 'DS': 32, 'FC': 25, 'FD': 1, 'FF': 3, 'FS': 21, 'PC': 3, 'SG': 8}","{'scouts': {'media': {'SG': 0.38, 'FS': 1, 'A': 0.05, 'DS': 1.52, 'FC': 1.19, 'CA': 0.38, 'FF': 0.14, 'FD': 0.05, 'PC': 0.14}, 'mandante': {'SG': 5, 'FS': 16, 'A': 1, 'DS': 17, 'FC': 17, 'CA': 5, 'FF': 2, 'PC': 1}, 'visitante': {'SG': 3, 'FS': 5, 'DS': 15, 'FC': 8, 'CA': 3, 'FF': 1, 'FD': 1, 'PC': 2}}, 'media_pontos_mandante': 4.074999999999999, 'media_pontos_visitante': 3.344444444444444, 'media_minutos_jogados': 100, 'minutos_jogados': 103}",0.27,21,50353,25,356,3,7,0.0,3.75,0.0,7.5,False,titi,Titi,Titi,Christian Chagas Tarouco,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png
16,"{'CA': 4, 'DS': 10, 'FC': 14, 'FD': 2, 'FF': 1, 'FS': 2, 'SG': 3}","{'scouts': {'media': {'SG': 0.2, 'FS': 0.13, 'DS': 0.67, 'FC': 0.93, 'CA': 0.27, 'FF': 0.07, 'FD': 0.13}, 'mandante': {'SG': 3, 'DS': 6, 'FC': 7, 'CA': 1, 'FF': 1}, 'visitante': {'FS': 2, 'DS': 4, 'FC': 7, 'CA': 3, 'FD': 2}}, 'media_pontos_mandante': 2.4875, 'media_pontos_visitante': 0.4428571428571428, 'media_minutos_jogados': 94, 'minutos_jogados': 100}",5.93,15,50856,25,294,3,7,7.0,1.54,0.94,3.85,True,henrique,Henrique,Henrique,Henrique Adriano Buss,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_XiJG6Uj.png
17,"{'CA': 2, 'DE': 70, 'FS': 2, 'GS': 28, 'PC': 1, 'SG': 6}","{'scouts': {'media': {'SG': 0.25, 'FS': 0.08, 'CA': 0.08, 'DE': 2.92, 'GS': 1.17, 'PC': 0.04}, 'mandante': {'SG': 3, 'DE': 28, 'GS': 15, 'PC': 1}, 'visitante': {'SG': 3, 'FS': 2, 'CA': 2, 'DE': 42, 'GS': 13}}, 'media_pontos_mandante': 2.25, 'media_pontos_visitante': 3.5833333333333335, 'media_minutos_jogados': 101, 'minutos_jogados': 98}",6.09,24,51413,25,1371,1,6,7.0,2.92,0.98,6.85,True,walter,Walter,Walter,Walter Leandro Capeloza Artune,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png
18,"{'CA': 1, 'DS': 2, 'FC': 9, 'FD': 1, 'FF': 3, 'FS': 3, 'I': 2}","{'scouts': {'media': {'FS': 0.33, 'I': 0.22, 'DS': 0.22, 'FC': 1, 'CA': 0.11, 'FF': 0.33, 'FD': 0.11}, 'mandante': {'FC': 5, 'CA': 1, 'FF': 3}, 'visitante': {'FS': 3, 'I': 2, 'DS': 2, 'FC': 4, 'FD': 1}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 30, 'minutos_jogados': 25}",0.71,9,37865,25,277,5,6,0.0,0.4,0.0,1.82,False,bruno-mezenga,Bruno Mezenga,B. Mezenga,Bruno Ferreira Mombra Rosa,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png
19,"{'CA': 1, 'DS': 10, 'FC': 10, 'FD': 1, 'FF': 2, 'FS': 9}","{'scouts': {'media': {'FS': 0.53, 'DS': 0.59, 'FC': 0.59, 'CA': 0.06, 'FF': 0.12, 'FD': 0.06}, 'mandante': {'FS': 3, 'DS': 1, 'FC': 5}, 'visitante': {'FS': 6, 'DS': 9, 'FC': 5, 'CA': 1, 'FF': 2, 'FD': 1}}, 'media_pontos_mandante': 0.19999999999999998, 'media_pontos_visitante': 1.2818181818181817, 'media_minutos_jogados': 50, 'minutos_jogados': 60}",0.57,17,51548,25,264,4,2,0.2,0.9,-0.21,2.45,True,giuliano,Giuliano,Giuliano,Giuliano Victor de Paula,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png
20,"{'CV': 1, 'FC': 2, 'FD': 2, 'FF': 6, 'FS': 1, 'G': 1, 'I': 2, 'PP': 1}","{'scouts': {'media': {'FS': 0.12, 'G': 0.12, 'I': 0.25, 'FC': 0.25, 'CV': 0.12, 'PP': 0.12, 'FF': 0.75, 'FD': 0.25}, 'mandante': {'FS': 1, 'G': 1, 'I': 2, 'FC': 2, 'CV': 1, 'PP': 1, 'FF': 6, 'FD': 2}, 'visitante': {}}, 'media_pontos_mandante': 1.3166666666666667, 'media_pontos_visitante': 0, 'media_minutos_jogados': 31, 'minutos_jogados': 32}",-1.96,7,38279,25,327,5,6,0.0,1.13,0.0,2.63,False,wellington-paulista,Wellington Paulista,W. Paulista,Wellington Pereira do Nascimento,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png
21,"{'A': 2, 'CA': 2, 'DS': 15, 'FC': 13, 'FD': 4, 'FF': 5, 'FS': 31, 'G': 2, 'I': 1, 'PC': 1}","{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",2.55,20,51772,25,262,4,7,2.2,3.06,-0.2,8.68,True,everton-ribeiro,Everton Ribeiro,E. Ribeiro,Everton Augusto de Barros Ribeiro,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png
22,"{'CA': 2, 'DS': 6, 'FC': 3, 'FF': 1, 'FS': 6, 'PC': 1, 'SG': 2}","{'scouts': {'media': {'SG': 0.33, 'FS': 1, 'DS': 1, 'FC': 0.5, 'CA': 0.33, 'FF': 0.17, 'PC': 0.17}, 'mandante': {'SG': 1, 'FF': 1}, 'visitante': {'SG': 1, 'FS': 6, 'DS': 6, 'FC': 3, 'CA': 2, 'PC': 1}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 49, 'minutos_jogados': 63}",1.6,6,38750,25,262,2,6,0.0,2.85,0.0,5.66,False,filipe-luis,Filipe Lu°s,F. Lu°s,Filipe Lu°s Kasmirski,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png
23,"{'CA': 1, 'DS': 8, 'FC': 9, 'FD': 1, 'FS': 1}","{'scouts': {'media': {'FS': 0.17, 'DS': 1.33, 'FC': 1.5, 'CA': 0.17, 'FD': 0.17}, 'mandante': {'FS': 1, 'DS': 4, 'FC': 6}, 'visitante': {'DS': 4, 'FC': 3, 'CA': 1, 'FD': 1}}, 'media_pontos_mandante': 1.1666666666666667, 'media_pontos_visitante': 1.3666666666666665, 'media_minutos_jogados': 45, 'minutos_jogados': 39}",3.3,6,39656,25,282,4,6,3.6,1.27,0.34,3.66,True,alan-franco,Alan Franco,A. Franco,Alan Steven Franco Palma,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png
24,"{'CA': 7, 'DS': 9, 'FC': 9, 'FF': 1, 'FS': 8, 'G': 1, 'PC': 1}","{'scouts': {'media': {'FS': 0.53, 'G': 0.07, 'DS': 0.6, 'FC': 0.6, 'CA': 0.47, 'FF': 0.07, 'PC': 0.07}, 'mandante': {'FS': 7, 'G': 1, 'DS': 6, 'FC': 6, 'CA': 5}, 'visitante': {'FS': 1, 'DS': 3, 'FC': 3, 'CA': 2, 'FF': 1, 'PC': 1}}, 'media_pontos_mandante': 1.19, 'media_pontos_visitante': 0.2, 'media_minutos_jogados': 60, 'minutos_jogados': 50}",0.06,15,38545,25,266,4,2,0.0,0.86,0.0,2.53,False,felipe-melo,Felipe Melo,F. Melo,Felipe Melo de Carvalho,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png
25,"{'CA': 1, 'FC': 1, 'FS': 1, 'SG': 2}","{'scouts': {'media': {'SG': 0.5, 'FS': 0.25, 'FC': 0.25, 'CA': 0.25}, 'mandante': {'SG': 2, 'FS': 1, 'FC': 1, 'CA': 1}, 'visitante': {}}, 'media_pontos_mandante': 3.0666666666666664, 'media_pontos_visitante': 0, 'media_minutos_jogados': 44, 'minutos_jogados': 50}",4.41,4,60852,25,1371,2,6,5.2,2.3,0.85,3.66,True,uendel,Uendel,Uendel,Uendel Pereira Gonáalves,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png
26,"{'A': 1, 'CA': 6, 'DS': 23, 'FC': 13, 'FD': 1, 'FF': 3, 'FS': 24, 'FT': 1, 'SG': 5}","{'scouts': {'media': {'SG': 0.29, 'FS': 1.41, 'A': 0.06, 'FT': 0.06, 'DS': 1.35, 'FC': 0.76, 'CA': 0.35, 'FF': 0.18, 'FD': 0.06}, 'mandante': {'SG': 2, 'FS': 10, 'A': 1, 'FT': 1, 'DS': 13, 'FC': 10, 'CA': 5, 'FF': 3, 'FD': 1}, 'visitante': {'SG': 3, 'FS': 14, 'DS': 10, 'FC': 3, 'CA': 1}}, 'media_pontos_mandante': 3.8000000000000003, 'media_pontos_visitante': 4.0125, 'media_minutos_jogados': 70, 'minutos_jogados': 52}",4.34,17,42500,25,264,2,6,0.0,3.9,0.0,8.19,False,fagner,Fagner,Fagner,Fagner Conserva Lemos,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png
27,"{'A': 1, 'CA': 1, 'DS': 12, 'FC': 14, 'FD': 2, 'FF': 2, 'FS': 3, 'G': 1, 'SG': 4}","{'scouts': {'media': {'SG': 0.29, 'FS': 0.21, 'A': 0.07, 'G': 0.07, 'DS': 0.86, 'FC': 1, 'CA': 0.07, 'FF': 0.14, 'FD': 0.14}, 'mandante': {'SG': 3, 'FS': 1, 'DS': 8, 'FC': 4, 'CA': 1, 'FF': 2, 'FD': 1}, 'visitante': {'SG': 1, 'FS': 2, 'A': 1, 'G': 1, 'DS': 4, 'FC': 10, 'FD': 1}}, 'media_pontos_mandante': 3.6714285714285717, 'media_pontos_visitante': 3.142857142857143, 'media_minutos_jogados': 77, 'minutos_jogados': 48}",0.86,14,52827,25,262,3,6,0.0,3.41,0.0,6.45,False,david-luiz,David Luiz,D. Luiz,David Luiz Moreira Marinho,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png
28,"{'DS': 1, 'FC': 1, 'FD': 1, 'FF': 2, 'FS': 4, 'G': 2, 'I': 2, 'PP': 1}","{'scouts': {'media': {'FS': 0.44, 'G': 0.22, 'I': 0.22, 'DS': 0.11, 'FC': 0.11, 'PP': 0.11, 'FF': 0.22, 'FD': 0.11}, 'mandante': {'FS': 1, 'G': 1, 'I': 2, 'FC': 1, 'FF': 2}, 'visitante': {'FS': 3, 'G': 1, 'DS': 1, 'PP': 1, 'FD': 1}}, 'media_pontos_mandante': 1.9199999999999995, 'media_pontos_visitante': 1.975, 'media_minutos_jogados': 23, 'minutos_jogados': 19}",0.19,9,49675,25,276,5,6,0.0,1.95,0.0,3.98,False,alexandre-pato,Alexandre Pato,A. Pato,Alexandre Rodrigues da Silva,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png
29,"{'CA': 1, 'DS': 20, 'FC': 13, 'FS': 8, 'PC': 1, 'SG': 5}","{'scouts': {'media': {'SG': 0.45, 'FS': 0.73, 'DS': 1.82, 'FC': 1.18, 'CA': 0.09, 'PC': 0.09}, 'mandante': {'SG': 2, 'FS': 4, 'DS': 8, 'FC': 4, 'PC': 1}, 'visitante': {'SG': 3, 'FS': 4, 'DS': 12, 'FC': 9, 'CA': 1}}, 'media_pontos_mandante': 4.8500000000000005, 'media_pontos_visitante': 3.957142857142857, 'media_minutos_jogados': 66, 'minutos_jogados': 70}",1.17,11,63013,25,275,2,2,0.0,4.28,0.0,5.42,False,marcos-rocha,Marcos Rocha,M. Rocha,Marcos Luis Rocha Aquino,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png
30,"{'CA': 1, 'DS': 1, 'FC': 6, 'FF': 3, 'FS': 3, 'G': 1, 'I': 3}","{'scouts': {'media': {'FS': 0.3, 'G': 0.1, 'I': 0.3, 'DS': 0.1, 'FC': 0.6, 'CA': 0.1, 'FF': 0.3}, 'mandante': {'FS': 3, 'I': 1, 'DS': 1, 'FC': 4, 'CA': 1, 'FF': 1}, 'visitante': {'G': 1, 'I': 2, 'FC': 2, 'FF': 2}}, 'media_pontos_mandante': 0.19999999999999998, 'media_pontos_visitante': 2.1999999999999997, 'media_minutos_jogados': 29, 'minutos_jogados': 10}",0.44,10,50347,25,282,5,6,0.0,1.0,0.0,4.12,False,alan-kardec,Alan Kardec,A. Kardec,Alan Kardec de Sousa Pereira J£nior,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png
31,"{'CA': 2, 'DS': 7, 'FC': 9, 'FS': 5}","{'scouts': {'media': {'FS': 1, 'DS': 1.4, 'FC': 1.8, 'CA': 0.4}, 'mandante': {'FS': 1, 'DS': 5, 'FC': 5}, 'visitante': {'FS': 4, 'DS': 2, 'FC': 4, 'CA': 2}}, 'media_pontos_mandante': 1.6666666666666667, 'media_pontos_visitante': 0.6000000000000001, 'media_minutos_jogados': 72, 'minutos_jogados': 100}",0.66,5,63058,25,294,4,7,0.3,1.24,0.22,2.94,True,willian-farias,Willian Farias,W. Farias,Willian Roberto Farias,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png
32,"{'CA': 1, 'DS': 3, 'FC': 6, 'FD': 5, 'FF': 1, 'FS': 2, 'G': 1, 'I': 5, 'PS': 1, 'SG': 1}","{'scouts': {'media': {'SG': 0.1, 'FS': 0.2, 'G': 0.1, 'I': 0.5, 'DS': 0.3, 'FC': 0.6, 'CA': 0.1, 'FF': 0.1, 'FD': 0.5, 'PS': 0.1}, 'mandante': {'FS': 2, 'G': 1, 'I': 2, 'DS': 1, 'FC': 4, 'FF': 1, 'FD': 5, 'PS': 1}, 'visitante': {'SG': 1, 'I': 3, 'DS': 2, 'FC': 2, 'CA': 1}}, 'media_pontos_mandante': 3.3199999999999994, 'media_pontos_visitante': 1.1, 'media_minutos_jogados': 35, 'minutos_jogados': 12}",0.48,10,51042,25,290,2,6,0.0,2.21,-0.76,4.53,True,apodi,Apodi,Apodi,Luiz Diallison de Souza Alves,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png
33,"{'A': 3, 'CA': 4, 'DS': 10, 'FC': 17, 'FD': 4, 'FF': 11, 'FS': 32, 'FT': 1, 'I': 2}","{'scouts': {'media': {'FS': 1.45, 'A': 0.14, 'FT': 0.05, 'I': 0.09, 'DS': 0.45, 'FC': 0.77, 'CA': 0.18, 'FF': 0.5, 'FD': 0.18}, 'mandante': {'FS': 11, 'A': 1, 'FT': 1, 'DS': 7, 'FC': 9, 'CA': 2, 'FF': 7}, 'visitante': {'FS': 21, 'A': 2, 'I': 2, 'DS': 3, 'FC': 8, 'CA': 2, 'FF': 4, 'FD': 4}}, 'media_pontos_mandante': 1.9000000000000001, 'media_pontos_visitante': 2.75, 'media_minutos_jogados': 75, 'minutos_jogados': 22}",0.85,22,68685,25,285,4,7,0.0,2.29,-0.18,7.85,True,alan-patrick,Alan Patrick,A. Patrick,Alan Patrick Lourenáo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png
34,"{'A': 1, 'CA': 2, 'DS': 12, 'FC': 19, 'FD': 6, 'FF': 6, 'FS': 18, 'FT': 1, 'G': 4, 'I': 1}","{'scouts': {'media': {'FS': 1, 'A': 0.06, 'FT': 0.06, 'G': 0.22, 'I': 0.06, 'DS': 0.67, 'FC': 1.06, 'CA': 0.11, 'FF': 0.33, 'FD': 0.33}, 'mandante': {'FS': 12, 'A': 1, 'FT': 1, 'G': 1, 'I': 1, 'DS': 9, 'FC': 13, 'CA': 1, 'FF': 3, 'FD': 3}, 'visitante': {'FS': 6, 'G': 3, 'DS': 3, 'FC': 6, 'CA': 1, 'FF': 3, 'FD': 3}}, 'media_pontos_mandante': 3.755555555555556, 'media_pontos_visitante': 3.755555555555556, 'media_minutos_jogados': 62, 'minutos_jogados': 72}",7.18,18,60825,25,327,5,3,0.0,3.75,0.0,6.49,False,felipe-azevedo,Felipe Azevedo,F. Azevedo,Felipe Azevedo dos Santos,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png
