,nome,slug,apelido,foto,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,clube.id.full.name,A,CA,FC,FD,FF,FS,FT,G,I,PE,RB,SG,CV,DD,GS,PP,GC,DP
594,Juan Matheus Alano Nascimento,juan-alano,Juan Alano,https://s.glbimg.com/es/sde/f/2018/04/09/42d654e6fb1c2336662be0dad04a9df7_FORMATO.png,98595,38,INT,4,7,4.4,2.47,0.91,1.69,Internacional,,,9.0,1.0,4.0,3.0,,,,14.0,12.0,,,,,,,
595,Marcos Vin°cius Silva Rocha Calazans,marcos-calazans,Marcos Calazans,https://s.glbimg.com/es/sde/f/2018/09/20/a0f7f5a4cab2aadb8015e478a8433dfc_FORMATO.png,97452,38,FLU,5,6,0,2.77,0,2.7,Fluminense,,,,,,3.0,,,,1.0,1.0,,,,,,,
596,Luiz Henrique Pachu Lira,pachu,Pachu,https://s.glbimg.com/es/sde/f/2018/05/17/24cdb04412dd6d812b54821d4a8054bf_FORMATO.png,97352,38,BOT,5,6,0,2.55,0,2.7,Botafogo,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,
597,Gabriel Vin°cius de Oliveira Furtado,gabriel-furtado,Gabriel Furtado,https://s.glbimg.com/es/sde/f/2017/06/23/b6f602ff015eb0fd2e4305c2b8361284_FORMATO.jpeg,97322,38,PAL,4,6,0,2.0,0,0,Palmeiras,,,,,,,,,,,,,,,,,,
598,Pedro Victor Delmino da Silva,pedrinho,Pedrinho,https://s.glbimg.com/es/sde/f/2018/03/20/647d2f9294de7cfe0e135b44beacdfa9_FORMATO.png,98706,38,COR,4,7,0.6,4.34,#CAMPO!,2.55,Corinthians,2.0,2.0,28.0,18.0,32.0,56.0,,1.0,2.0,94.0,29.0,,,,,,,
599,Vinicius Moreira de Lima,lima,Lima,https://s.glbimg.com/es/sde/f/2018/05/21/b3da5e7d34e88ee1ac405e3ada92c40f_FORMATO.png,96340,38,GRE,4,6,0,2.34,0,1.37,Gràmio,,,6.0,3.0,4.0,6.0,,,1.0,5.0,5.0,,,,,,,
600,Mauricio Caprini Pinto,caprini,Caprini,https://s.glbimg.com/es/sde/f/2018/05/18/974cf193c41e59553e84f947ddaab668_FORMATO.png,96049,38,ATL,5,6,0,2.0,0,0,AtlÇtico-PR,,,,,,,,,,,,,,,,,,
601,Lucas Halter,lucas-halter,Lucas Halter,https://s.glbimg.com/es/sde/f/2018/05/08/19a612b27e812d8d3695c4af8c78ea9a_FORMATO.png,102253,38,ATL,3,6,0,1.0,0,0,AtlÇtico-PR,,,,,,,,,,,,,,,,,,
602,Luis Henrique Lima Ferreira,luis-henrique,Luis Henrique,https://s.glbimg.com/es/sde/f/2018/06/05/f468a62494928820ad0f8123756afdf3_FORMATO.png,97459,38,AME,3,6,0,1.0,0,0,AmÇrica-MG,,,,,,,,,,,,,,,,,,
603,Joriwinnyson Santos dos Anjos Rodrigues,jori,Jori,https://s.glbimg.com/es/sde/f/2018/05/07/74ebf6f155bba3965e6fbdd4d47886ed_FORMATO.png,97453,38,AME,1,6,0,8.8,0,1.48,AmÇrica-MG,,,1.0,,,1.0,,,,9.0,,2.0,,10.0,12.0,,,
604,Shaylon Kallyson Cardoso,shaylon,Shaylon,https://s.glbimg.com/es/sde/f/2018/08/22/8dada340d3eace63bb678a5ac94eaaff_FORMATO.png,97520,38,SAO,4,6,#CAMPO!,2.66,#CAMPO!,1.58,SÑo Paulo,,1.0,9.0,,4.0,4.0,,2.0,2.0,17.0,8.0,,,,,,,
605,Cassiano Silva dos Santos,cassiano,Cassiano,https://s.glbimg.com/es/sde/f/2018/03/21/3cae94aec96c4ad0739c8e679527507a_FORMATO.png,96411,38,BAH,1,6,0,1.0,0,0,Bahia,,,,,,,,,,,,,,,,,,
606,Crysan da Cruz Queiroz Barcelos,crysan,Crysan,https://s.glbimg.com/es/sde/f/2018/07/16/c97cfd12cf2775988f29481bc61824a1_FORMATO.png,90406,38,ATL,5,6,0,3.21,0,0.6,AtlÇtico-PR,,,,,,,,,,3.0,1.0,,,,,,,
607,Matheus Alessandro dos Santos Pereira,matheus-alessandro,Matheus Alessandro,https://s.glbimg.com/es/sde/f/2018/05/18/28524541dbc99ed7fa6cadc1531e6cf9_FORMATO.png,97527,38,FLU,5,6,0,3.51,0,1.61,Fluminense,1.0,4.0,12.0,6.0,11.0,38.0,1.0,,4.0,19.0,14.0,,1.0,,,,,
608,Willean Bernardo Willemen,lepu,Lepu,https://s.glbimg.com/es/sde/f/2018/06/05/664e239f7dce6e6497a82d094f42723a_FORMATO.png,97522,38,BAH,4,6,0,2.0,0,0,Bahia,,,,,,,,,,,,,,,,,,
609,Bruno Vieira do Nascimento,bruno,Bruno,https://s.glbimg.com/es/sde/f/2018/07/13/09307c226e39bee5dc0a7815a939e26d_FORMATO.png,42499,38,BAH,2,7,0,3.4,0,2.3,Bahia,1.0,1.0,28.0,1.0,1.0,14.0,,,,45.0,20.0,4.0,,,,,,
610,Gabriel Pires de Oliveira,gabriel-pires,Gabriel Pires,https://s.glbimg.com/es/sde/f/2018/03/21/13a5b6a7ba6b442bdc5769461ae475be_FORMATO.png,96559,38,PAR,4,6,0,4.0,0,0,Paran†,,,,,,,,,,,,,,,,,,
611,Wesley Frazan Bernardo,frazan,Frazan,https://s.glbimg.com/es/sde/f/2018/09/20/757d419d1040c909be357a50fb4f34b8_FORMATO.png,97528,38,FLU,3,6,0,2.75,0,1.38,Fluminense,,,6.0,1.0,,2.0,,,,6.0,3.0,1.0,,,,,,
612,Renan Augusto Lodi dos Santos,renan-lodi,Renan Lodi,https://s.glbimg.com/es/sde/f/2018/03/01/4eaa6c2a6e5a7da6c4f98c27ddd89b48_FORMATO.png,96591,38,ATL,2,6,0,5.67,0,4.53,AtlÇtico-PR,2.0,4.0,24.0,13.0,13.0,38.0,,,1.0,34.0,20.0,11.0,1.0,,,,1.0,
613,Daniel de Sousa Brito,daniel,Daniel,https://s.glbimg.com/es/sde/f/2018/04/08/c1cd28e8c43b4edcf47c77241aa2efe3_FORMATO.png,96468,38,INT,1,6,0,0.75,0,#CAMPO!,Internacional,,,,,,1.0,,,,,,,,,1.0,,,
614,Pablo Silva de Lara,pablo-pardal,Pablo Pardal,https://s.glbimg.com/es/sde/f/2017/02/14/f9c5c6dfb4f99f29774612985f6e6464_FORMATO.png,96633,38,SPO,4,6,0,1.63,0,0.5,Sport,,,,,,1.0,,,,,,,,,,,,
615,Rodrigo Figueiredo de Carvalho,rodrigo-figueiredo,Rodrigo Figueiredo,https://s.glbimg.com/es/sde/f/2017/04/20/bef317b8404e13356cc3277dae40f4c9_FORMATO.png,96832,38,COR,4,6,0,1.51,0,#CAMPO!,Corinthians,,,,,,1.0,,,,2.0,,,,,,,,
616,Hiago Correa Silveira Cena,hiago,Hiago,https://s.glbimg.com/es/sde/f/2018/05/24/290a6f9eadad6684596a861f850734aa_FORMATO.png,97535,38,CHA,3,6,0,2.0,0,0,Chapecoense,,,,,,,,,,,,,,,,,,
