,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
232,JoÑo Pedro Borges,101721,267,https://s.glbimg.com/es/sde/f/2018/09/27/bdf3476e0782cb7e4f75819b1f8495cc_FORMATO.png,0,0.0,JoÑo Pedro Soares Borges,0.0,1,1.0,20,{},joao-pedro-borges,6,0.0
233,Diego,101728,276,https://s.glbimg.com/es/sde/f/2019/06/25/7738366152614f061570dd722e1de7c6_FORMATO.png,0,0.0,Diego Henrique Costa Barbosa,0.0,3,1.0,20,{},diego,6,0.0
234,Marrony,101717,267,https://s.glbimg.com/es/sde/f/2019/07/27/1f96b9040f1eff51cb593c7919068c8d_FORMATO.png,18,2.71,Marrony da Silva Liberato,2.0,5,11.3,20,"{'A': 1, 'CA': 2, 'CV': 1, 'FC': 29, 'FD': 8, 'FF': 13, 'FS': 26, 'G': 1, 'I': 5, 'PE': 29, 'RB': 25}",marrony,6,0.11
235,Ney Franco,37246,290,https://s.glbimg.com/es/sde/f/2019/08/16/4fdb04d94b755837e1e0f7f90cf60442_FORMATO.png,18,3.3,Ney Franco da Silveira J£nior,6.15,6,9.32,20,{},ney-franco,7,0.4
236,Evandro,37614,277,https://s.glbimg.com/es/sde/f/2019/07/23/786467c2a3fa4e560747d85deb202cf4_FORMATO.png,5,1.12,Evandro Goebel,0.0,4,5.04,20,"{'FC': 6, 'FD': 1, 'FF': 1, 'FS': 3, 'PE': 8, 'RB': 5}",evandro,2,0.0
237,Santos,69012,293,https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png,14,4.71,Aderbar Melo dos Santos Neto,7.7,1,8.41,20,"{'CA': 1, 'DD': 20, 'DP': 1, 'FC': 1, 'FS': 4, 'GS': 13, 'PE': 15, 'SG': 6}",santos,7,0.1
238,Geovane,105635,293,,0,0.0,Geovane Silva Santos,0.0,4,1.0,20,{},geovane,6,0.0
239,Vladimir,69040,314,https://s.glbimg.com/es/sde/f/2019/03/25/4bc2171f8c51b2c85199265874ecd26c_FORMATO.png,19,4.6,Vladimir Orlando Cardoso de Ara£jo Filho,8.5,1,8.05,20,"{'CA': 2, 'DD': 35, 'FS': 2, 'GS': 22, 'PE': 2, 'SG': 6}",vladimir,7,-0.6
240,Vitor Hugo,72605,275,https://s.glbimg.com/es/sde/f/2019/08/01/10d95e2af722b1c1c76a7fe3c403de16_FORMATO.png,5,3.06,Vitor Hugo Franchescoli de Souza,7.3,3,7.42,20,"{'FC': 4, 'FD': 1, 'FF': 3, 'FS': 1, 'I': 2, 'PE': 6, 'RB': 4, 'SG': 2}",vitor-hugo,7,0.72
241,Mano Menezes,37281,275,https://s.glbimg.com/es/sde/f/2019/09/17/46cf277e84eac2493bb162ec93f5690f_FORMATO.png,16,3.46,Luis Antìnio Venker de Menezes,5.55,6,9.83,20,{},mano-menezes,7,0.17
242,Daniel Marcos,105868,264,https://s.glbimg.com/es/sde/f/2019/07/03/816dbc5aa557a83929a50c9ee42fe94c_FORMATO.jpeg,0,0.0,Daniel Marcos Meira Novaes,0.0,2,1.0,20,{},daniel-marcos,6,0.0
243,Muriel,69041,266,https://s.glbimg.com/es/sde/f/2019/07/08/b55d0e8a8f26380aedc02448bac387cb_FORMATO.png,8,3.3,Muriel Gustavo Becker,0.0,1,4.31,20,"{'CA': 1, 'DD': 13, 'FC': 1, 'FS': 1, 'GS': 10, 'PE': 2, 'SG': 2}",muriel,7,-0.59
244,Willian,42116,275,https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png,7,2.6,Willian Gomes de Siqueira,8.6,5,8.45,20,"{'CA': 1, 'FC': 4, 'FD': 2, 'FS': 5, 'G': 2, 'I': 1, 'PE': 9, 'RB': 3}",willian,7,1.51
245,Eg°dio,42145,283,https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png,11,3.97,Eg°dio de Ara£jo Pereira J£nior,3.2,2,8.89,20,"{'A': 1, 'FC': 11, 'FD': 3, 'FF': 2, 'FS': 10, 'I': 1, 'PE': 35, 'RB': 20, 'SG': 3}",egidio,7,0.51
246,Manoel,69014,264,https://s.glbimg.com/es/sde/f/2019/05/23/8ef54147edc589e8e177c09584065867_FORMATO.png,16,4.28,Manoel Messias Silva Carvalho,1.8,3,10.93,20,"{'CA': 1, 'FC': 12, 'FD': 1, 'FF': 5, 'FS': 6, 'G': 1, 'GC': 1, 'PE': 20, 'RB': 21, 'SG': 8}",manoel,6,0.04
247,BetÑo,37646,314,https://s.glbimg.com/es/sde/f/2019/02/18/c0b805cc5c8e5f13e496652b72658a40_FORMATO.png,17,2.56,Ebert William AmÉncio,6.9,3,4.98,20,"{'CA': 4, 'CV': 1, 'FC': 13, 'FF': 2, 'FS': 18, 'PE': 34, 'RB': 25, 'SG': 5}",betao,7,0.16
248,Boselli,69161,264,https://s.glbimg.com/es/sde/f/2019/05/23/6a353db88a96b39b63e2ff4a5b79226d_FORMATO.png,9,2.83,Mauro Boselli,0.0,5,3.69,20,"{'A': 1, 'CA': 1, 'FC': 3, 'FD': 4, 'FF': 4, 'FS': 4, 'G': 2, 'I': 1, 'PE': 10, 'RB': 1}",boselli,6,0.0
249,Danilo Fernandes,69051,285,https://s.glbimg.com/es/sde/f/2019/04/26/ff9a95bc3d5696feb8d8d55b5b47f12b_FORMATO.png,3,8.23,Danilo Fernandes Batista,0.0,1,7.35,20,"{'DD': 8, 'GS': 2, 'PE': 1, 'SG': 1}",danilo-fernandes,6,0.0
250,Ricardo Bueno,69141,341,https://s.glbimg.com/es/sde/f/2019/07/08/1f73cdfaf6d211abebbace364f7e2da6_FORMATO.png,13,2.8,Ricardo Bueno da Silva,1.0,5,13.87,20,"{'A': 2, 'CA': 2, 'FC': 20, 'FD': 5, 'FF': 6, 'FS': 8, 'G': 3, 'I': 9, 'PE': 16, 'PP': 1, 'RB': 10}",ricardo-bueno,6,-0.21
251,LÇo,69177,314,https://s.glbimg.com/es/sde/f/2019/08/23/69269a509e22002208076d8511c9258a_FORMATO.png,8,3.39,Leonardo Moreira Morais,5.3,2,5.81,20,"{'A': 1, 'CA': 3, 'CV': 1, 'FC': 14, 'FF': 4, 'FS': 15, 'PE': 17, 'RB': 13, 'SG': 3}",leo,3,0.17
252,Amaral,42232,315,https://s.glbimg.com/es/sde/f/2019/07/14/c2a0b87e385e6c928a8460ec1a0ed143_FORMATO.png,6,1.43,William JosÇ de Souza,0.0,4,2.93,20,"{'FC': 4, 'FS': 2, 'PE': 3, 'RB': 7}",amaral,6,0.0
253,Paulo Roberto,69047,356,https://s.glbimg.com/es/sde/f/2019/03/22/98a0ece4c6b60ee9652ec2c1e371f056_FORMATO.png,4,0.68,Paulo Roberto da Silva,0.0,4,3.66,20,"{'FC': 5, 'FF': 1, 'FS': 7, 'PE': 7, 'RB': 2}",paulo-roberto,6,0.0
254,Juanfran,72620,276,https://s.glbimg.com/es/sde/f/2019/08/09/3bd5a8ba6743da05e2eefc2c5140722d_FORMATO.png,5,3.44,Juan Francisco Torres BelÇn,1.7,2,10.77,20,"{'FC': 7, 'FS': 1, 'PE': 11, 'RB': 9, 'SG': 2}",juanfran,7,-0.54
255,Osvaldo,42222,356,https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png,17,1.92,Osvaldo Lourenáo Filho,1.0,5,5.12,20,"{'A': 3, 'CA': 1, 'CV': 1, 'FC': 14, 'FD': 4, 'FF': 6, 'FS': 6, 'G': 2, 'PE': 20, 'RB': 6}",osvaldo,7,-0.75
256,Pablo,69138,276,https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png,3,8.03,Pablo Felipe Teixeira,9.2,5,14.42,20,"{'FC': 3, 'FD': 1, 'FF': 6, 'FS': 3, 'FT': 1, 'G': 2, 'I': 3, 'PE': 3, 'RB': 1}",pablo,7,0.81
257,Gamarra,69288,341,https://s.glbimg.com/es/sde/f/2019/07/08/d5b3fba549a4fd01075274610e2c1fe0_FORMATO.png,2,0.2,Rodolfo Vicente Gamarra Varela,0.0,5,5.34,20,"{'FC': 2, 'FF': 1, 'PE': 3, 'RB': 1}",gamarra,6,0.0
258,Luiz Adriano,72772,275,https://s.glbimg.com/es/sde/f/2019/08/09/03390afe55e2bf08d4cb4d0da02c7b39_FORMATO.png,5,1.0,Luiz Adriano de Souza da Silva,-0.3,5,5.02,20,"{'A': 1, 'FC': 9, 'FD': 1, 'FF': 1, 'FS': 7, 'I': 2, 'PE': 5, 'RB': 1}",luiz-adriano,7,-0.81
259,C†ssio,42234,264,https://s.glbimg.com/es/sde/f/2019/05/18/a1c0088018f45c558e550b2e63d482e8_FORMATO.png,16,3.84,C†ssio Ramos,-2.0,1,7.62,20,"{'CA': 3, 'DD': 19, 'FS': 3, 'GS': 12, 'PE': 7, 'SG': 7}",cassio,6,-0.19
260,Argel Fucks,73317,341,https://s.glbimg.com/es/sde/f/2019/07/03/cdd47cd362cfe3cf486b63644ffb552d_FORMATO.png,11,3.12,ArgÇlico Fucks,6.55,6,6.83,20,{},argel-fucks,7,0.81
261,NikÑo,69705,293,https://s.glbimg.com/es/sde/f/2019/03/30/e389d21dd5909e815633dfb6c0fffca7_FORMATO.png,11,3.7,Maycon Vin°cius Ferreira da Cruz,0.0,4,16.23,20,"{'A': 1, 'CA': 2, 'FC': 9, 'FD': 9, 'FF': 11, 'FS': 10, 'G': 2, 'PE': 13, 'RB': 5}",nikao,7,0.0
262,Renà J£nior,73281,264,https://s.glbimg.com/es/sde/f/2019/05/23/605fd3e976ffe9b529d0208eb32fa15b_FORMATO.png,0,0.0,Renà dos Santos J£nior,0.0,4,7.0,20,{},rene-junior,6,0.0
263,Rafael Vaz,73421,290,https://s.glbimg.com/es/sde/f/2019/03/26/2893d827588a8a8150dbe4d07ec4e480_FORMATO.png,13,5.0,Rafael Vaz dos Santos,12.9,3,13.14,20,"{'FC': 4, 'FD': 4, 'FF': 5, 'FS': 6, 'G': 4, 'GC': 1, 'PE': 43, 'RB': 14, 'SG': 4}",rafael-vaz,7,2.04
264,Samuel Xavier,73384,354,https://s.glbimg.com/es/sde/f/2019/03/28/a19b59f7d716d5610181d660801756b6_FORMATO.png,17,3.68,Samuel Xavier Brito,0.0,2,12.51,20,"{'A': 2, 'CA': 6, 'FC': 15, 'FD': 4, 'FF': 7, 'FS': 33, 'FT': 1, 'I': 2, 'PE': 43, 'RB': 24, 'SG': 4}",samuel-xavier,7,0.0
265,Luccas Claro,73465,266,https://s.glbimg.com/es/sde/f/2019/09/18/7a3422e868242f542e08d9bd8d472869_FORMATO.png,0,0.0,Luccas Claro dos Santos,0.0,3,3.0,20,{},luccas-claro,6,0.0
266,Romulo,70009,284,https://s.glbimg.com/es/sde/f/2019/03/30/b06f6bb3a42e7565fe15d4abdbbbe956_FORMATO.png,8,1.64,Romulo Borges Monteiro,0.0,4,4.74,20,"{'CA': 3, 'FC': 18, 'FD': 1, 'FF': 3, 'FS': 9, 'G': 1, 'PE': 15, 'RB': 11}",romulo,6,0.0
267,Cuca,42411,276,https://s.glbimg.com/es/sde/f/2019/04/07/35352a4b014ee5f80f5cf8c8e7123bc9_FORMATO.png,19,3.89,Alexi Stival,4.7,6,10.57,20,{},cuca,7,0.22
268,êderson,73446,356,https://s.glbimg.com/es/sde/f/2019/03/22/24b700fe4f2c7138597131364bc2d2d4_FORMATO.png,0,0.0,êderson Alves Ribeiro Silva,0.0,5,6.0,20,{},ederson,6,0.0
269,Julinho,73501,314,https://s.glbimg.com/es/sde/f/2019/02/18/cf3d8eab528cc3bf388f557c9134576c_FORMATO.png,5,0.53,J£lio CÇsar Godinho Catole,0.0,4,1.68,20,"{'CA': 2, 'FC': 4, 'FD': 2, 'FF': 2, 'FS': 3, 'PE': 9, 'RB': 6}",julinho,6,0.0
270,MaranhÑo,73513,341,https://s.glbimg.com/es/sde/f/2019/08/16/a83ba6d1335bae5be0bf59085ad262c8_FORMATO.png,11,1.58,Francinilson Santos Meireles,0.0,5,3.04,20,"{'FC': 12, 'FD': 1, 'FF': 3, 'FS': 18, 'G': 1, 'I': 4, 'PE': 14, 'RB': 6}",maranhao,6,0.0
271,M†rcio Azevedo,42491,293,https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png,12,3.33,M†rcio Gonzaga de Azevedo,0.0,2,6.62,20,"{'A': 2, 'CA': 3, 'FC': 16, 'FD': 1, 'FF': 2, 'FS': 14, 'PE': 26, 'RB': 8, 'SG': 6}",marcio-azevedo,7,0.0
272,Maur°cio Ramos,42477,315,https://s.glbimg.com/es/sde/f/2019/08/16/019effb07a1b8eb64d39d92e80bdc238_FORMATO.png,9,2.14,Maur°cio Donizete Ramos J£nior,-0.8,3,4.42,20,"{'FC': 13, 'FD': 2, 'FF': 1, 'FS': 8, 'PE': 13, 'RB': 5, 'SG': 3}",mauricio-ramos,6,-0.62
273,Victor Ferraz,70046,277,https://s.glbimg.com/es/sde/f/2018/05/23/229fbb519d2bbf0c8b2c2b77992e15ed_FORMATO.png,17,4.32,Victor Ferraz Macedo,1.8,2,10.05,20,"{'A': 1, 'CA': 3, 'FC': 9, 'FD': 5, 'FF': 5, 'FS': 12, 'I': 1, 'PE': 47, 'RB': 25, 'SG': 8}",victor-ferraz,7,-0.53
274,GlÇdson,73533,314,https://s.glbimg.com/es/sde/f/2019/02/18/c6d4b90211065258bf950d6d8491a977_FORMATO.png,0,0.0,GlÇdson Ribeiro dos Santos,0.0,1,3.0,20,{},gledson,6,0.0
275,RogÇrio,73540,265,https://s.glbimg.com/es/sde/f/2019/02/27/92700f5dfefdb214d227ca999caedfb3_FORMATO.png,7,2.95,JosÇ RogÇrio de Oliveira,0.0,5,9.4,20,"{'FC': 7, 'FD': 5, 'FF': 4, 'FS': 11, 'G': 1, 'I': 2, 'PE': 7, 'RB': 3}",rogerio,6,0.0
276,Nenà Bonilha,73608,356,https://s.glbimg.com/es/sde/f/2019/07/21/06edeac8d4c973d330e8be3fdad18607_FORMATO.png,1,0.3,Luis Otavio Bonilha de Oliveira Santos,0.0,4,2.41,20,"{'FC': 1, 'FF': 1}",nene-bonilha,5,0.0
277,Wellington Nem,73619,266,https://s.glbimg.com/es/sde/f/2019/08/06/eed31b97dfa9c8ecd78df822c04269ab_FORMATO.png,5,1.74,Wellington Silva Sanches Aguiar,0.0,5,5.1,20,"{'CA': 2, 'FC': 6, 'FD': 2, 'FF': 5, 'FS': 15, 'PE': 4, 'RB': 2}",wellington-nem,6,0.0
278,Marcos Vin°cius,73721,263,https://s.glbimg.com/es/sde/f/2019/07/16/4167381432d7908874cb17eaac12b616_FORMATO.png,2,0.6,Marcos Vin°cius de Jesus Ara£jo,0.0,4,4.01,20,"{'FC': 2, 'FS': 2, 'PE': 1, 'RB': 1}",marcos-vinicius,6,0.0
279,Bruno,42499,285,https://s.glbimg.com/es/sde/f/2019/04/26/d902e9b106945142d1e4b989287abaa1_FORMATO.png,5,5.04,Bruno Vieira do Nascimento,10.6,2,6.5,20,"{'CA': 1, 'FC': 6, 'FF': 1, 'FS': 5, 'PE': 12, 'RB': 7, 'SG': 4}",bruno,7,1.12
280,Gilberto,73789,290,https://s.glbimg.com/es/sde/f/2019/03/26/e60267387b772e4aca726b4377fab481_FORMATO.png,5,2.32,Gilberto dos Santos Souza J£nior,2.5,4,2.84,20,"{'CA': 2, 'FC': 8, 'FD': 1, 'FF': 2, 'FS': 3, 'PE': 4, 'RB': 11}",gilberto,7,-0.45
281,Marcelo Cirino,69022,293,https://s.glbimg.com/es/sde/f/2019/03/30/c8469dc064bfee30f2576ca3d65fc15b_FORMATO.png,15,4.27,Marcelo Cirino da Silva,0.0,5,8.33,20,"{'A': 2, 'FC': 9, 'FD': 6, 'FF': 9, 'FS': 14, 'FT': 1, 'G': 4, 'I': 4, 'PE': 21, 'RB': 7}",marcelo-cirino,6,0.0
282,Jean ClÇber,73858,341,https://s.glbimg.com/es/sde/f/2019/07/08/5670e68dc69e316eb45de8decf7fa03a_FORMATO.png,10,1.05,Jean ClÇber Santos da Silva,-1.6,4,2.25,20,"{'A': 1, 'CA': 2, 'FC': 12, 'FF': 2, 'FS': 8, 'PE': 12, 'RB': 9}",jean-cleber,6,-0.53
283,GeuvÉnio,73896,282,https://s.glbimg.com/es/sde/f/2019/09/19/5713b43cf674fc15a512f9431af9e7c1_FORMATO.png,17,2.36,GeuvÉnio Santos Silva,2.0,5,11.16,20,"{'A': 1, 'CA': 2, 'FC': 23, 'FD': 9, 'FF': 11, 'FS': 24, 'FT': 1, 'I': 1, 'PE': 25, 'RB': 16}",geuvanio,6,0.01
284,Rodrigo Caio,73800,262,https://s.glbimg.com/es/sde/f/2019/04/26/ed48caa8134e11a7c39b6c0d1b2146a7_FORMATO.png,14,3.76,Rodrigo Caio Roquette Russo,1.5,3,8.35,20,"{'CA': 3, 'FC': 13, 'FD': 2, 'FF': 11, 'FS': 6, 'G': 1, 'I': 1, 'PE': 15, 'RB': 12, 'SG': 6}",rodrigo-caio,7,-0.47
285,Bruno Peres,73962,276,https://s.glbimg.com/es/sde/f/2019/04/01/e45da566464dfc86f2e866c3d5f0a9ff_FORMATO.png,0,0.0,Bruno da Silva Peres,0.0,2,5.0,20,{},bruno-peres,6,0.0
286,Fagner,42500,264,https://s.glbimg.com/es/sde/f/2019/03/18/d5cd825ae9a3b7963ead1566162c7d54_FORMATO.png,14,5.38,Fagner Conserva Lemos,0.2,2,12.25,20,"{'A': 2, 'CA': 2, 'FC': 13, 'FD': 2, 'FF': 2, 'FS': 21, 'PE': 52, 'RB': 28, 'SG': 7}",fagner,6,-0.67
287,Rhodolfo,42501,262,https://s.glbimg.com/es/sde/f/2019/04/26/51d02738aaf54038d8131123fd325008_FORMATO.png,3,0.97,Luiz Rhodolfo Dini Gaioto,0.0,3,3.73,20,"{'FC': 3, 'PE': 2, 'SG': 1}",rhodolfo,6,-0.67
288,Alison,73974,277,https://s.glbimg.com/es/sde/f/2019/03/28/2438d7ca6b16c454a1fc9ccb45ec389d_FORMATO.png,11,2.59,Alison Lopes Ferreira,7.5,4,5.68,20,"{'CA': 4, 'FC': 19, 'FF': 3, 'FS': 14, 'PE': 13, 'RB': 27}",alison,2,0.7
289,TiÑo,47134,356,https://s.glbimg.com/es/sde/f/2019/04/01/2f2d8115868a8a24ba14c10ce4bc4fa2_FORMATO.png,0,0.0,SebastiÑo Sousa Costa,0.0,4,1.0,20,{},tiao,6,0.0
290,Rodinei,73992,262,https://s.glbimg.com/es/sde/f/2019/04/26/cfed24bcffd157785687c5223fdb1106_FORMATO.png,7,0.34,Rodinei Marcelo de Almeida,0.0,2,2.24,20,"{'CA': 3, 'FC': 8, 'FF': 1, 'FS': 2, 'I': 2, 'PE': 8, 'RB': 6, 'SG': 1}",rodinei,6,0.0
291,Gatito Fern†ndez,74061,263,https://s.glbimg.com/es/sde/f/2019/09/19/70ca98c30fcb2c5e072b2494089c9fa5_FORMATO.png,17,5.22,Roberto Junior Fern†ndez Torres,7.7,1,9.87,20,"{'CA': 3, 'DD': 31, 'FS': 4, 'GS': 16, 'PE': 11, 'SG': 7}",gatito-fernandez,7,-0.43
292,Matheus Barbosa,74069,314,https://s.glbimg.com/es/sde/f/2019/03/25/1566120db01ce074100b649a154a6290_FORMATO.png,10,1.96,Matheus Barbosa Teixeira,1.8,4,3.85,20,"{'A': 1, 'FC': 10, 'FD': 1, 'FF': 3, 'FS': 6, 'I': 1, 'PE': 25, 'RB': 14}",matheus-barbosa,7,-0.69
293,Ernando,49651,265,https://s.glbimg.com/es/sde/f/2019/02/27/6fa92b9ae476bc3a5c60c6beed20ac71_FORMATO.png,8,4.64,Ernando Rodrigues Lopes,0.0,3,10.78,20,"{'FC': 2, 'FS': 4, 'FT': 1, 'G': 1, 'PE': 3, 'RB': 4, 'SG': 4}",ernando,5,0.0
294,Guerra,74213,265,https://s.glbimg.com/es/sde/f/2019/07/08/d6e7cb486a2b10326ee24be81701aef1_FORMATO.png,7,0.87,Alejandro Abraham Guerra Morales,0.0,4,3.43,20,"{'CA': 1, 'FC': 6, 'FD': 1, 'FF': 1, 'FS': 1, 'G': 1, 'PE': 8, 'RB': 2}",guerra,7,-0.14
295,êlber,74140,265,https://s.glbimg.com/es/sde/f/2019/03/29/67d058ae9f531a675de3f44a9bb2735b_FORMATO.png,14,2.34,JosÇ êlber Pimentel da Silva,2.0,4,5.71,20,"{'CA': 1, 'FC': 6, 'FD': 6, 'FF': 4, 'FS': 29, 'I': 3, 'PE': 17, 'RB': 13}",elber,6,0.12
296,Claudio Winck,74074,267,https://s.glbimg.com/es/sde/f/2019/02/04/4412c9f53c873f0f2ce2b2038d648bbf_FORMATO.jpeg,2,2.15,Claudio Winck Neto,0.0,2,4.01,20,"{'CA': 1, 'FC': 2, 'FF': 2, 'PE': 6, 'RB': 5}",claudio-winck,6,0.0
297,J£lio CÇsar,49673,284,https://s.glbimg.com/es/sde/f/2019/08/16/e0a4857e8a29ebeabcb5c38571b22ce2_FORMATO.png,7,4.67,J£lio CÇsar Jacobi,0.0,1,7.93,20,"{'DD': 15, 'GS': 11, 'PE': 1, 'SG': 2}",julio-cesar,6,0.0
298,Paolo Guerrero,75295,285,https://s.glbimg.com/es/sde/f/2019/07/01/1eecca318970c97227763ef6d9c7a67b_FORMATO.png,9,4.74,JosÇ Paolo Guerrero Gonzales,2.4,5,12.16,20,"{'CA': 1, 'FC': 13, 'FD': 7, 'FF': 12, 'FS': 14, 'FT': 1, 'G': 3, 'I': 7, 'PE': 16, 'RB': 5}",paolo-guerrero,7,-0.49
299,Alexandre Pato,49675,276,https://s.glbimg.com/es/sde/f/2019/03/29/eeca6b8bc1af0980d000db756e4c61ec_FORMATO.png,13,5.01,Alexandre Rodrigues da Silva,0.0,5,8.98,20,"{'CA': 1, 'FC': 9, 'FD': 5, 'FF': 15, 'FS': 19, 'G': 5, 'I': 5, 'PE': 23, 'RB': 9}",alexandre-pato,5,0.0
300,Derlis Gonz†lez,75372,277,https://s.glbimg.com/es/sde/f/2018/08/02/82821b03d402e292e2c9436d34a6f1b3_FORMATO.png,10,0.24,Derlis Alberto Gonz†lez Galeano,0.0,5,0.99,20,"{'CA': 3, 'CV': 1, 'FC': 15, 'FD': 1, 'FF': 3, 'FS': 12, 'G': 1, 'I': 6, 'PE': 14, 'RB': 7}",derlis-gonzalez,6,0.0
301,Yago,77500,290,https://s.glbimg.com/es/sde/f/2019/03/26/32f1ef47f09a17579130bc990308fe11_FORMATO.png,13,1.27,Yago Fernando da Silva,0.0,3,2.95,20,"{'CA': 3, 'FC': 9, 'FF': 1, 'FS': 2, 'I': 1, 'PE': 11, 'RB': 6, 'SG': 4}",yago,5,0.0
302,Eduardo Barroca,77774,263,https://s.glbimg.com/es/sde/f/2019/04/16/d952f67089f2842da5bc84d3029f1a73_FORMATO.png,20,3.27,Eduardo de Souza Barroca,3.43,6,8.68,20,{},eduardo-barroca,7,-0.06
303,Auremir,77570,354,https://s.glbimg.com/es/sde/f/2019/03/28/6abb09758933bfcad8f3734cd8fbe484_FORMATO.png,3,1.8,Auremir Evangelista dos Santos,0.0,4,4.23,20,"{'FC': 6, 'FS': 3, 'PE': 7, 'RB': 6}",auremir,6,0.0
304,Bruno Alves,73620,276,https://s.glbimg.com/es/sde/f/2019/04/01/c8c4cd4fac733c4fba030044eefbd05a_FORMATO.png,16,3.2,Bruno Fabiano Alves,0.4,3,6.99,20,"{'A': 1, 'CA': 3, 'FC': 24, 'FD': 1, 'FF': 4, 'FS': 8, 'PE': 19, 'RB': 21, 'SG': 6}",bruno-alves,7,-1.06
305,CÇsar,78086,262,https://s.glbimg.com/es/sde/f/2019/04/26/c90b6f282ed66e95550b8b12c749706c_FORMATO.png,4,4.62,CÇsar Bernardo Dutra,0.0,1,6.1,20,"{'DD': 7, 'FS': 1, 'GS': 4, 'SG': 1}",cesar,6,0.0
306,William Pottker,77809,285,https://s.glbimg.com/es/sde/f/2018/04/08/06ddb3ee2ae6d52b98811b532e854970_FORMATO.png,5,5.02,William de Oliveira Pottker,0.0,5,9.48,20,"{'FC': 4, 'FD': 1, 'FF': 4, 'FS': 2, 'G': 2, 'PE': 6, 'RB': 5}",william-pottker,5,0.0
307,Fellipe Bastos,70116,267,https://s.glbimg.com/es/sde/f/2019/03/26/c1b84ba942df91f5064aabec2e10f1de_FORMATO.png,8,2.92,Fellipe Ramos Ignez Bastos,0.0,4,4.79,20,"{'CA': 2, 'FC': 7, 'FD': 1, 'FF': 9, 'FS': 3, 'G': 1, 'PE': 7, 'RB': 10}",fellipe-bastos,6,0.0
308,Wilson,50284,282,https://s.glbimg.com/es/sde/f/2019/09/04/773ad9e26e2760e008e5aafe52ef90f3_FORMATO.png,1,2.0,Wilson Rodrigues de Moura J£nior,0.0,1,4.8,20,"{'DD': 2, 'GS': 2}",wilson,6,0.0
309,Madson,78077,293,https://s.glbimg.com/es/sde/f/2019/03/30/53ad5d19d960420d8a169d449092cfdf_FORMATO.png,12,4.37,Madson Ferreira dos Santos,8.6,2,6.76,20,"{'CA': 1, 'FC': 11, 'FD': 1, 'FF': 1, 'FS': 14, 'G': 2, 'I': 1, 'PE': 29, 'RB': 16, 'SG': 4}",madson,2,1.09
310,Alan Santos,70132,263,https://s.glbimg.com/es/sde/f/2019/03/22/1276ddf39afc2fbbc816f01fd6d4afb2_FORMATO.png,2,0.6,Alan Santos da Silva,0.0,4,2.74,20,"{'FC': 1, 'FS': 1, 'PE': 1, 'RB': 1}",alan-santos,6,-0.54
311,Ramires,50293,275,https://s.glbimg.com/es/sde/f/2019/07/15/f7e7e1bc3ae4b0d7928b527e2e567bc1_FORMATO.png,3,1.17,Ramires Santos do Nascimento,0.0,4,6.79,20,"{'FC': 2, 'FF': 1, 'FS': 2, 'PE': 1, 'RB': 2}",ramires,5,0.0
312,Guilherme,50294,266,https://s.glbimg.com/es/sde/f/2019/05/04/999c57638fe8815a7060966d05a4be93_FORMATO.png,3,-1.1,Guilherme Milhomem GusmÑo,0.0,4,3.06,20,"{'CA': 2, 'FC': 3, 'FS': 2, 'PE': 6, 'RB': 2}",guilherme,6,0.0
313,Marco Ruben,73741,293,https://s.glbimg.com/es/sde/f/2019/03/31/f20966ed6b70c83b4d440ca5028a8ee4_FORMATO.png,10,3.83,Marco Gast¢n RubÇn Rodr°guez,0.9,5,13.37,20,"{'A': 3, 'CA': 1, 'FC': 15, 'FD': 7, 'FF': 4, 'FS': 6, 'FT': 2, 'G': 1, 'I': 5, 'PE': 13, 'RB': 7}",marco-ruben,7,-1.15
314,SidÑo,70222,267,https://s.glbimg.com/es/sde/f/2019/05/18/e5e9391eacbbef7a8d684162729df4d4_FORMATO.png,6,1.03,Sidney Aparecido Ramos da Silva,0.0,1,3.74,20,"{'DD': 8, 'GS': 8, 'PE': 6}",sidao,6,0.0
315,JoÑo Lucas,86740,354,https://s.glbimg.com/es/sde/f/2019/03/28/eb379c8f9ca40adb24afd4216819a3c1_FORMATO.png,17,2.15,JoÑo Lucas Cardoso,1.5,2,9.36,20,"{'CA': 1, 'FC': 8, 'FD': 3, 'FF': 2, 'FS': 8, 'G': 1, 'GC': 1, 'I': 4, 'PE': 37, 'RB': 19, 'SG': 3}",joao-lucas,7,-0.85
