,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
138,Patrick,99918,284,https://s.glbimg.com/es/sde/f/2017/08/16/34305aca84639e95caaf29addb016bab_FORMATO.png,9,1.4,Patrick Machado Ferreira ,0.0,4,1.79,20,"{'FC': 1, 'FD': 3, 'FF': 1, 'FS': 9, 'PE': 6, 'RB': 4}",patrick,6,0.0
139,Lincoln,100065,262,https://s.glbimg.com/es/sde/f/2019/04/26/255d9bff72ac266df10afb5e3a477f23_FORMATO.png,8,1.97,Lincoln Corràa dos Santos,0.0,5,3.74,20,"{'CA': 1, 'FC': 3, 'FD': 4, 'FF': 3, 'FS': 8, 'G': 1, 'I': 1, 'PE': 8, 'RB': 2}",lincoln,5,0.0
140,Bruno MÇndez,103700,264,https://s.glbimg.com/es/sde/f/2019/05/23/0dc006a6698913db3ce69120b8804b8c_FORMATO.png,3,3.27,Bruno MÇndez Cittadini,0.0,3,5.01,20,"{'CA': 1, 'FC': 2, 'PE': 9, 'RB': 7, 'SG': 1}",bruno-mendez,6,0.0
141,Fl†vio,105340,290,https://s.glbimg.com/es/sde/f/2019/03/26/5645762e1cc6552647337456ccdceb79_FORMATO.png,0,0.0,Fl†vio Henrique Sousa,0.0,4,1.0,20,{},flavio,6,0.0
142,Filipe Trindade,105341,290,,0,0.0,Filipe Candido da Trindade,0.0,3,1.0,20,{},filipe-trindade,6,0.0
143,Talles Magno,105786,267,https://s.glbimg.com/es/sde/f/2019/07/26/3eca5da9c208a11a2a29df5f995b31a1_FORMATO.png,10,2.28,Talles Magno Bacelar Martins,2.0,5,2.29,20,"{'CA': 3, 'FC': 18, 'FD': 5, 'FF': 8, 'FS': 17, 'G': 2, 'PE': 17, 'RB': 4}",talles-magno,6,-0.94
144,Igor Gomes,100084,276,https://s.glbimg.com/es/sde/f/2019/04/01/7a6c90034396325f6cc570ef06e1040c_FORMATO.png,11,0.21,Igor Silveira Gomes,0.0,4,0.88,20,"{'CA': 2, 'FC': 5, 'FD': 3, 'FF': 3, 'FS': 5, 'PE': 9, 'RB': 2}",igor-gomes,6,-0.2
145,Thuler,100125,262,https://s.glbimg.com/es/sde/f/2019/04/26/95196820b7c23e6db6715208a1fd4ea6_FORMATO.png,9,1.21,Matheus Soares Thuler,0.0,3,3.28,20,"{'CA': 1, 'FC': 6, 'FS': 4, 'PE': 7, 'RB': 4, 'SG': 2}",thuler,6,0.0
146,Neto,103706,282,https://s.glbimg.com/es/sde/f/2019/03/30/845cad8021ef58fd85f953cdd5d0fae9_FORMATO.png,0,0.0,Antìnio Fialho de Carvalho Neto,0.0,4,1.0,20,{},neto,6,0.0
147,Alan,105395,290,https://s.glbimg.com/es/sde/f/2019/03/26/4ebe446997649a79d3d0d6f81824f76d_FORMATO.png,0,0.0,Alan Carlos de Paula Dias Filho,0.0,3,1.0,20,{},alan,6,0.0
148,Pedrinho,100103,293,https://s.glbimg.com/es/sde/f/2018/12/21/500d93987dbbc889569e6b638e3cdab5_FORMATO.jpeg,2,0.6,Pedro Gabriel Pereira Lopes,0.0,5,1.02,20,"{'FC': 2, 'FD': 1, 'FF': 1, 'FS': 1, 'PE': 1}",pedrinho,6,0.0
149,Anderson Cear†,103724,277,https://s.glbimg.com/es/sde/f/2018/11/20/744c159954ee4c4e7301b12d509ba9ac_FORMATO.jpeg,0,0.0,Francisco Anderson de Jesus dos Santos,0.0,4,1.0,20,{},anderson-ceara,6,0.0
