,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,gato_mestre,slug,apelido,apelido_abreviado,nome,foto
150,"{'A': 2, 'CA': 1, 'DS': 11, 'FC': 6, 'FD': 3, 'FF': 1, 'FS': 13, 'FT': 1, 'G': 1, 'PI': 49, 'PS': 1}",105612,35,280,4,6,0.0,5.87,0.0,2.75,14,1.29,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",miguel,Miguel,Miguel,Miguel Silveira dos Santos,https://s.glbimg.com/es/sde/f/2022/05/05/3853dd9ef852c207b562c78641692c50_FORMATO.png
151,"{'DS': 1, 'FC': 2, 'FS': 1, 'G': 1, 'PI': 3}",69034,35,264,4,5,0.0,10.81,0.0,2.93,3,7.41,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",paulinho,Paulinho,Paulinho,JosÇ Paulo Bezerra Maciel J£nior,https://s.glbimg.com/es/sde/f/2022/04/27/1d79a755ea006081f316b2fad1097216_FORMATO.png
152,"{'A': 1, 'CA': 6, 'DS': 23, 'FC': 20, 'FF': 8, 'FS': 6, 'PI': 53}",103695,35,280,4,6,-0.4,3.36,-0.3,1.04,24,0.15,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",jadsom-silva,Jadsom Silva,J. Silva,Jadsom Meemyas de Oliveira da Silva,https://s.glbimg.com/es/sde/f/2022/05/05/9d601cb29909661ed2abc4800aab14b7_FORMATO.png
153,"{'DS': 4, 'FC': 23, 'FD': 4, 'FF': 6, 'FS': 5, 'FT': 2, 'I': 3, 'PI': 13}",105301,35,280,5,6,-0.3,2.84,-0.34,1.2,12,0.26,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",jan-hurtado,Jan Hurtado,J. Hurtado,Jan Carlos Hurtado Anchico,https://s.glbimg.com/es/sde/f/2022/05/05/1bdc33333f950ae556b0e097e5493b5c_FORMATO.png
154,{'PI': 8},106108,35,280,5,6,0.0,0.92,0.0,-0.27,3,-0.19,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",welliton,Welliton,Welliton,Welliton Silva de Azevedo Matheus,https://s.glbimg.com/es/sde/f/2022/03/09/309a2641f2910674fae13000486c5d5d_FORMATO.png
155,"{'CA': 3, 'DS': 10, 'FC': 7, 'FF': 1, 'FS': 2, 'PI': 35}",106299,35,280,3,6,0.0,2.03,0.0,0.74,7,-1.52,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",realpe,Realpe,Realpe,Leonardo Javier Realpe Monta§o,https://s.glbimg.com/es/sde/f/2022/05/05/593eafb7ce8c7aa2051ccde762f1d731_FORMATO.png
156,{},105200,35,280,5,6,0.0,2.0,0.0,0.0,0,1.57,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",gonzalo,Gonzalo,Gonzalo,Gonzalo Schnorr Fornari,https://s.glbimg.com/es/sde/f/2021/10/08/df7aef94332d05cd281a5628fd21eebc_FORMATO.png
157,"{'A': 2, 'CA': 2, 'CV': 1, 'DS': 13, 'FC': 22, 'FD': 4, 'FF': 7, 'FS': 16, 'FT': 1, 'I': 7, 'PI': 57}",90309,35,285,5,6,-0.1,4.33,0.05,1.39,21,0.52,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",david,David,David,David Correa da Fonseca,https://s.glbimg.com/es/sde/f/2022/02/22/2bd5fca2e1d0dc67b0755602e00a7e66_FORMATO.png
158,"{'A': 2, 'CA': 3, 'DS': 16, 'FC': 13, 'FD': 3, 'FF': 8, 'FS': 19, 'G': 1, 'I': 2, 'PI': 43}",107744,35,280,4,6,0.0,7.37,0.0,3.02,15,2.21,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",praxedes,Praxedes,Praxedes,Bruno ConceiáÑo Praxedes,https://s.glbimg.com/es/sde/f/2022/05/05/f8aea5d525d74bdbe77382da13d85ed2_FORMATO.png
159,"{'A': 1, 'CA': 4, 'DS': 32, 'FC': 18, 'FD': 3, 'FF': 5, 'FS': 14, 'FT': 1, 'G': 2, 'I': 1, 'PI': 89, 'SG': 6}",107110,35,280,3,7,0.5,7.92,-0.02,3.16,28,1.51,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",natan,Natan,Natan,Natan Bernardo de Souza,https://s.glbimg.com/es/sde/f/2022/05/05/ebc6c140c001d68b3b50f27e354d27e2_FORMATO.png
